(-238, 356)
(-384, 373)
(102, 325)
(15, -313)
(-184, 13)
(-340, 10)
(-374, 350)
(80, 301)
(-91, 148)
(-76, -36)
(-111, -44)
(196, -380)
(-389, -246)
(-263, 328)
(-287, 69)
(356, -364)
(309, 222)
(231, 20)
(375, -170)
(-253, 148)
(-389, 313)
(-225, 159)
(351, 313)
(372, 127)
(156, 42)
(-88, 25)
(-243, -359)
(241, 17)
(255, -68)
(289, 358)
(-260, 104)
(201, 376)
(-304, -136)
(-245, -245)
(-209, -341)
(316, 246)
(-173, 95)
(385, 1)
(129, 399)
(-328, 176)
(282, 286)
(165, 79)
(56, -331)
(107, -365)
(286, 71)
(-234, -228)
(341, -2)
(-250, -242)
(-37, 167)
(22, -192)
(200, 113)
(-47, -14)
(-197, -264)
(-114, 209)
(218, -170)
(166, -169)
(-130, -183)
(-44, 7)
(201, -8)
(-341, 221)
